entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,59,-2587.95,-43.86,-2.56,100.0
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,37,-2747.91,-74.27,-4.03,106.2
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,22,159.96,7.27,0.52,-6.2
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,59,-2587.95,-43.86,-2.56,100.0
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,US10Y,rates rising,59,-2587.95,-43.86,-2.56,100.0
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,OIL,oil downtrend,15,468.2,31.21,1.58,-18.1
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,OIL,oil uptrend,44,-3056.15,-69.46,-4.39,118.1
ORBMASTER_US30_M15_c_US30.a_M15_EVERYTICKREAL,ea,VIX,normal,59,-2587.95,-43.86,-2.56,100.0
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,54,-1208.18,-22.37,-1.57,295.8
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,4,799.75,199.94,13.94,-195.8
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,58,-408.43,-7.04,-0.48,100.0
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,36,-1259.15,-34.98,-2.22,308.3
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,22,850.72,38.67,3.21,-208.3
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,58,-408.43,-7.04,-0.48,100.0
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,US10Y,rates rising,58,-408.43,-7.04,-0.48,100.0
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,OIL,oil downtrend,15,-413.97,-27.6,-2.01,101.4
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,OIL,oil uptrend,43,5.54,0.13,0.01,-1.4
ORBMASTER_US30_M15_f_US30.a_M15_EVERYTICKREAL,ea,VIX,normal,58,-408.43,-7.04,-0.48,100.0
ORBMASTER_US30_M15_h_US30.a_M15_EVERYTICKREAL,ea,DXY,strong dollar,54,-469.46,-8.69,-0.94,185.8
ORBMASTER_US30_M15_h_US30.a_M15_EVERYTICKREAL,ea,DXY,weak dollar,4,216.85,54.21,2.74,-85.8
ORBMASTER_US30_M15_h_US30.a_M15_EVERYTICKREAL,ea,SP500,stocks bull,58,-252.61,-4.36,-0.42,100.0
ORBMASTER_US30_M15_h_US30.a_M15_EVERYTICKREAL,ea,GOLD,gold downtrend,36,-523.12,-14.53,-1.28,207.1
ORBMASTER_US30_M15_h_US30.a_M15_EVERYTICKREAL,ea,GOLD,gold uptrend,22,270.51,12.3,1.44,-107.1
ORBMASTER_US30_M15_h_US30.a_M15_EVERYTICKREAL,ea,BTC,crypto bear,58,-252.61,-4.36,-0.42,100.0
